sede_sise,distancia_km,cod_mod,nombre_colegio,gestion,tipo_gestion,provincia,distrito,direccion,latitud,longitud
SISE SAN MIGUEL,4.48,0209973,MILITAR LEONCIO PRADO,P£blica de gesti¢n directa,Público,CALLAO,LA PERLA,AVENIDA COSTANERA 1541,-12.0754,-77.1183
SISE SAN MIGUEL,3.05,0209924,DORA MAYER,P£blica de gesti¢n directa,Público,CALLAO,BELLAVISTA,PARQUE LAS AMERICAS 140,-12.05706,-77.09312
SISE COMAS,2.46,0659722,5080 SOR ANA DE LOS ANGELES,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,ALAMEDA ALAMEDA DE LOS MISIONEROS S/N,-12.01107,-77.10339
SISE COMAS,1.48,0498824,5026 JOSE MARIA ARGUEDAS,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,CALLE LAS MORAS S/N,-12.01984,-77.09149
SISE INDEPENDENCIA,4.8,0498824,5026 JOSE MARIA ARGUEDAS,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,CALLE LAS MORAS S/N,-12.01984,-77.09149
SISE COMAS,2.23,1083716,5099 RICARDO PALMA,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,PASAJE JOSE OLAYA S/N,-12.02017,-77.09931
SISE COMAS,4.19,0582890,5031 CESAR VALLEJO,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,JIRON TUMBES S/N,-12.04287,-77.10235
SISE SAN MIGUEL,4.92,0582890,5031 CESAR VALLEJO,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,JIRON TUMBES S/N,-12.04287,-77.10235
SISE SAN MIGUEL,4.81,0209536,CALLAO,P£blica de gesti¢n directa,Público,CALLAO,BELLAVISTA,AVENIDA JUAN PABLO II S/N,-12.06339,-77.11831
SISE SAN MIGUEL,3.82,1083815,5050 SAN PEDRO,P£blica de gesti¢n directa,Público,CALLAO,BELLAVISTA,AVENIDA UNO S/N,-12.06082,-77.10671
SISE COMAS,4.61,0583013,5049 EMMA DETTMANN DE GUTIERREZ,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,CALLE RUY DIAZ 316,-12.05066,-77.09526
SISE SAN MIGUEL,3.77,0583013,5049 EMMA DETTMANN DE GUTIERREZ,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,CALLE RUY DIAZ 316,-12.05066,-77.09526
SISE SAN MIGUEL,4.84,0209908,GENERAL PRADO,P£blica de gesti¢n directa,Público,CALLAO,BELLAVISTA,AVENIDA JUAN PABLO II S/N,-12.06422,-77.11895
SISE COMAS,3.43,0705772,4015 AUGUSTO SALAZAR BONDY,P£blica de gesti¢n directa,Público,CALLAO,CARMEN DE LA LEGUA REYNOSO,JIRON ANGEL QUISPE 350,-12.04198,-77.08676
SISE SAN MIGUEL,4.32,0705772,4015 AUGUSTO SALAZAR BONDY,P£blica de gesti¢n directa,Público,CALLAO,CARMEN DE LA LEGUA REYNOSO,JIRON ANGEL QUISPE 350,-12.04198,-77.08676
SISE COMAS,3.94,0209965,RAUL PORRAS BARRENECHEA,P£blica de gesti¢n directa,Público,CALLAO,CARMEN DE LA LEGUA REYNOSO,JIRON PIURA Y LIMA S/N,-12.04327,-77.09718
SISE SAN MIGUEL,4.59,0209965,RAUL PORRAS BARRENECHEA,P£blica de gesti¢n directa,Público,CALLAO,CARMEN DE LA LEGUA REYNOSO,JIRON PIURA Y LIMA S/N,-12.04327,-77.09718
SISE COMAS,4.29,1083674,5097 SAN JUAN MACIAS,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,AVENIDA CANADA MZ P,-11.99755,-77.11748
SISE COMAS,1.67,1098441,CORAZON DE JESUS,Privada,Privado,CALLAO,CALLAO,CALLE 2 MZ J LOTE 4-5,-12.02103,-77.09283
SISE INDEPENDENCIA,4.99,1098441,CORAZON DE JESUS,Privada,Privado,CALLAO,CALLAO,CALLE 2 MZ J LOTE 4-5,-12.02103,-77.09283
SISE COMAS,2.36,1098201,VIRGEN DE CHAPI,Privada,Privado,CALLAO,CALLAO,CALLE 5 MZ N LOTE 14,-12.00975,-77.10239
SISE COMAS,2.54,1099597,TALENTUS SCHOOL,Privada,Privado,CALLAO,CALLAO,AVENIDA PACASMAYO MZ B LOTE 4,-12.00635,-77.10346
SISE COMAS,2.28,0879817,5095 JULIO RAMON RIBEYRO,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,AVENIDA OMICRON S/N,-12.0253,-77.0965
SISE COMAS,3.35,0659623,5036 RAFAEL BELAUNDE DIEZ CANSECO,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,JIRON SANTOS CHOCANO S/N,-12.03769,-77.09641
SISE COMAS,1.92,0693390,NI¥O JESUS MARISCAL CHAPERITO,Privada,Privado,CALLAO,CALLAO,AVENIDA PACASMAYO 4737,-12.02095,-77.09563
SISE SAN MIGUEL,4.24,1191998,THOMAS JEFFERSON,Privada,Privado,CALLAO,LA PERLA,JIRON CAHUIDE 2280,-12.0735,-77.11576
SISE COMAS,3.22,0583070,SANTA ANGELA MERICI,Privada,Privado,CALLAO,CARMEN DE LA LEGUA REYNOSO,JIRON VICTOR.A. BELAUNDE S/N,-12.03898,-77.09077
SISE SAN MIGUEL,4.76,0583070,SANTA ANGELA MERICI,Privada,Privado,CALLAO,CARMEN DE LA LEGUA REYNOSO,JIRON VICTOR.A. BELAUNDE S/N,-12.03898,-77.09077
SISE COMAS,3.55,0880260,BARBARA D'ACHILLE,Privada,Privado,CALLAO,CARMEN DE LA LEGUA REYNOSO,AVENIDA LOPEZ PAZOS 380,-12.04015,-77.09553
SISE SAN MIGUEL,4.82,0880260,BARBARA D'ACHILLE,Privada,Privado,CALLAO,CARMEN DE LA LEGUA REYNOSO,AVENIDA LOPEZ PAZOS 380,-12.04015,-77.09553
SISE COMAS,2.53,0880302,JEAN CALVIN LEFRANC,Privada,Privado,CALLAO,CALLAO,CALLE LOS JAZMINES MZ C LOTE 8-12,-12.00717,-77.10353
SISE COMAS,2.92,1099431,BEATA ANA MARIA JAVOUHEY,Privada,Privado,CALLAO,CALLAO,CALLE 1 S/N II ETAPA S/N,-12.03284,-77.09672
SISE COMAS,1.51,0728576,VIRGEN DE GUADALUPE,Privada,Privado,CALLAO,CALLAO,MZ E-1 LOTE 8 - 9 ETAPA I,-12.01059,-77.09462
SISE INDEPENDENCIA,4.45,0728576,VIRGEN DE GUADALUPE,Privada,Privado,CALLAO,CALLAO,MZ E-1 LOTE 8 - 9 ETAPA I,-12.01059,-77.09462
SISE COMAS,2.73,1098326,MADRE TERESA DE CALCUTA,Privada,Privado,CALLAO,CALLAO,URB. LOS JAZMINES MZ A LOTE 3 Y 4,-12.00773,-77.10553
SISE COMAS,1.68,1099316,LOS OLIVOS,Privada,Privado,CALLAO,CALLAO,CALLE LOS ALAMOS MZ G LOTE 18-19,-12.02196,-77.09209
SISE COMAS,4.31,1099555,SAN BENITO DE PALERMO,Privada,Privado,CALLAO,CALLAO,PASAJE CANADA MZ D1 LOTE 7-8,-11.99852,-77.11808
SISE COMAS,1.88,0880286,SAN IGNACIO DE LOYOLA,Privada,Privado,CALLAO,CALLAO,CALLE EUCARIS 164,-12.00991,-77.09796
SISE INDEPENDENCIA,4.73,0880286,SAN IGNACIO DE LOYOLA,Privada,Privado,CALLAO,CALLAO,CALLE EUCARIS 164,-12.00991,-77.09796
SISE COMAS,3.11,1098482,ALFREDO REBAZA ACOSTA DE LOS JAZMINES,Privada,Privado,CALLAO,CALLAO,MZ U LOTE 10 ZONA IV,-12.00359,-77.10818
SISE COMAS,1.93,1099357,FLORENCE NIGHTINGALE,Privada,Privado,CALLAO,CALLAO,CALLE GUSTAVO PONS MUSSO MZ A LOTE 2-3,-12.01716,-77.09765
SISE COMAS,3.53,0880245,REGINA PACIS,Privada,Privado,CALLAO,CARMEN DE LA LEGUA REYNOSO,AVENIDA 1 DE MAYO 486,-12.04056,-77.09428
SISE SAN MIGUEL,4.72,0880245,REGINA PACIS,Privada,Privado,CALLAO,CARMEN DE LA LEGUA REYNOSO,AVENIDA 1 DE MAYO 486,-12.04056,-77.09428
SISE COMAS,2.29,1099639,SAN LAZARO,Privada,Privado,CALLAO,CALLAO,COOP. ALBINO HERRERA PRIMERA ETAPA MZ H LOTE 20-21,-12.00885,-77.1016
SISE COMAS,2.47,0782227,JESUS SALVADOR,Privada,Privado,CALLAO,CALLAO,AVENIDA LOS DOMINICOS 1215,-12.0023,-77.10136
SISE INDEPENDENCIA,4.76,0782227,JESUS SALVADOR,Privada,Privado,CALLAO,CALLAO,AVENIDA LOS DOMINICOS 1215,-12.0023,-77.10136
SISE COMAS,1.67,0883793,SANTISIMA MARIA DE GUADALUPE,Privada,Privado,CALLAO,CALLAO,CALLE LOS FLAMENCOS 182,-12.01008,-77.09605
SISE INDEPENDENCIA,4.56,0883793,SANTISIMA MARIA DE GUADALUPE,Privada,Privado,CALLAO,CALLAO,CALLE LOS FLAMENCOS 182,-12.01008,-77.09605
SISE COMAS,2.91,0583161,SANTA CRUZ,Privada,Privado,CALLAO,CALLAO,AVENIDA QUILCA 6TA CDRA S/N,-12.03214,-77.09748
SISE SAN MIGUEL,4.49,1083708,KAREN HORNEY,Privada,Privado,CALLAO,BELLAVISTA,CALLE VALLE RIESTRA 385,-12.06045,-77.11358
SISE COMAS,1.71,0705780,NI¥O JESUS DE PRAGA,Privada,Privado,CALLAO,CALLAO,CALLE CESAR VALLEJO MZ G LOTE 1-5,-12.01704,-77.09554
SISE INDEPENDENCIA,4.93,0705780,NI¥O JESUS DE PRAGA,Privada,Privado,CALLAO,CALLAO,CALLE CESAR VALLEJO MZ G LOTE 1-5,-12.01704,-77.09554
SISE COMAS,1.86,0478479,JUAN INGUNZA VALDIVIA,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,AVENIDA NENUFARES 401,-12.01202,-77.0979
SISE INDEPENDENCIA,4.84,0478479,JUAN INGUNZA VALDIVIA,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,AVENIDA NENUFARES 401,-12.01202,-77.0979
SISE COMAS,1.13,0782078,5085 RAMIRO PRIALE PRIALE,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,CALLE LOS FAISANES CUADRA 1 MZ O,-12.01514,-77.09056
SISE INDEPENDENCIA,4.38,0782078,5085 RAMIRO PRIALE PRIALE,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,CALLE LOS FAISANES CUADRA 1 MZ O,-12.01514,-77.09056
SISE COMAS,3.05,1195239,JOSE MARIA ESCRIVA DE BALAGUER,Privada,Privado,CALLAO,CALLAO,CALLE MARTE 175,-12.03502,-77.09557
SISE COMAS,4.81,0582866,4018 ABRAHAM VALDELOMAR,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,AVENIDA PROCERES S/N,-12.04283,-77.11144
SISE COMAS,4.15,0209510,POLITECNICO NACIONAL DEL CALLAO,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,AVENIDA ELMER FAUCETT S/N,-12.044294,-77.099361
SISE SAN MIGUEL,4.61,0209510,POLITECNICO NACIONAL DEL CALLAO,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,AVENIDA ELMER FAUCETT S/N,-12.044294,-77.099361
SISE SAN MIGUEL,4.89,1083864,EL FUNDAMENTO,Privada,Privado,CALLAO,LA PERLA,AVENIDA SANTA ROSA 405,-12.06899,-77.12096
